study_id,site_id,year,soil_sampling,Before or at rye planting,rep,soil_cores_sampled,soil_depth_cm,soil_NH4,soil_NH4_units,soil_NO3,soil_NO3_units,total_inorganic_N,total_inorganic_N_units,soil_textural_class,percent_sand,percent_silt,percent_clay,bulk_density_g_cm3,percent_SOM,percent_SOC,pH
8,Beltsville Agricultural Research Center,2010-2011,TRUE,Before or at rye planting,4,6,0-30,,,,,46,kg/ha,loam,,,,,,,
8,Beltsville Agricultural Research Center,2010-2011,TRUE,Before or at rye planting,4,6,30-60,,,,,35,kg/ha,loam,,,,,,,
8,Beltsville Agricultural Research Center,2010-2011,TRUE,Before or at rye planting,4,6,60-90,,,,,34.8,kg/ha,loam,,,,,,,
8,Beltsville Agricultural Research Center,2011-2012,TRUE,Before or at rye planting,4,6,0-30,,,,,23.5,kg/ha,loam,,,,,,,
8,Beltsville Agricultural Research Center,2011-2012,TRUE,Before or at rye planting,4,6,30-60,,,,,20.3,kg/ha,loam,,,,,,,
8,Beltsville Agricultural Research Center,2011-2012,TRUE,Before or at rye planting,4,6,60-90,,,,,15.7,kg/ha,loam,,,,,,,
8,Russell E. Larson Agricultural Research Center,2011-2012,TRUE,Before or at rye planting,4,6,0-30,,,,,21.5,kg/ha,silt loam,,,,,,,
8,Russell E. Larson Agricultural Research Center,2011-2012,TRUE,Before or at rye planting,4,6,30-60,,,,,13.9,kg/ha,silt loam,,,,,,,
8,Russell E. Larson Agricultural Research Center,2011-2012,TRUE,Before or at rye planting,4,6,60-90,,,,,17.8,kg/ha,silt loam,,,,,,,
8,"Caswell Research Station, Kinston",2011-2012,TRUE,Before or at rye planting,4,6,0-30,,,,,34.6,kg/ha,sandy loam,,,,,,,
8,"Caswell Research Station, Kinston",2011-2012,TRUE,Before or at rye planting,4,6,30-60,,,,,33,kg/ha,sandy loam,,,,,,,
8,"Caswell Research Station, Kinston",2011-2012,TRUE,Before or at rye planting,4,6,60-90,,,,,30.1,kg/ha,sandy loam,,,,,,,
8,"Piedmont Research Station, Salisbury",2011-2012,TRUE,Before or at rye planting,4,6,0-30,,,,,72.9,kg/ha,clay loam,,,,,,,
8,"Piedmont Research Station, Salisbury",2011-2012,TRUE,Before or at rye planting,4,6,30-60,,,,,57,kg/ha,clay loam,,,,,,,
8,"Piedmont Research Station, Salisbury",2011-2012,TRUE,Before or at rye planting,4,6,60-90,,,,,47.4,kg/ha,clay loam,,,,,,,
9,Crookston,2014-2015,FALSE,,3,,,,,,,,,sandy loam,,,,,,2.3,
9,Crookston,2015-2016,FALSE,,3,,,,,,,,,sandy loam,,,,,,2.3,
9,Lamberton,2014-2015,FALSE,,3,,,,,,,,,clay loam,,,,,,3,
9,Lamberton,2015-2016,FALSE,,3,,,,,,,,,clay loam,,,,,,3,
9,Saint Paul,2014-2015,FALSE,,3,,,,,,,,,silt loam,,,,,,3.5,
9,Saint Paul,2015-2016,FALSE,,3,,,,,,,,,silt loam,,,,,,3.5,
10,E.V. Smith Research Center,2010-2011,FALSE,,3,,,,,,,,,loamy sand,,,,,,,
10,E.V. Smith Research Center,2011-2012,FALSE,,3,,,,,,,,,loamy sand,,,,,,,
10,Tennessee Valley Research and Extension Center,2011-2012,FALSE,,3,,,,,,,,,silt loam,,,,,,,
10,E.V. Smith Research Center,2012-2013,FALSE,,3,,,,,,,,,loamy sand,,,,,,,
